
Palette: 125
kelpColor: 0.1, 0.9, 0.7
scavMainTradeItem: Lantern
scavTradeItems: PureCrystal-0.055, RockFruit-0.09
scavGearItems: PureCrystal-0.05, RockFruit-0.07
eliteScavGearItems: PureCrystal-0.24, RockFruit-0.51
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.01
overseersMin: 1
overseersMax: 1
playerGuideOverseerSpawnChance: 0.0
Room Setting Templates: Subways, Deepside, Behindworks, Foghorizon, Coldtracks, DepotComplex, StationEdge, ZeroCaves
Subregion: Forsaken Station
Subregion: Deep Lake
Subregion: Forsaken Station (Auxiliary Storage)
Subregion: Forsaken Station (Supply Network)
Subregion: Mountain Railways
watcherSentientRotRooms: FT_F43W, FT_F42W, FT_F17W, FT_F18W
Room_Attr: FT_F01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,BigSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F02: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Avoid,YellowLizard-Forbidden,WhiteLizard-Forbidden,Salamander-Like,CyanLizard-Forbidden,Snail-Like,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,BigEel-Like,BigSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F03: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: FT_F04: PinkLizard-Forbidden,GreenLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
