DangerType: Rain
CeilingDrips: 0.5
RainIntensity: 1
RumbleIntensity: 1
WaveSpeed: 0.75
WaveLength: 0.5
WaveAmplitude: 0
SecondWaveLength: 0.1666667
SecondWaveAmplitude: 0
Clouds: 0.4021739
Grime: 0.2065217
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 330
EffectColorA: 0
EffectColorB: 0
Effects: SkyAndLightBloom-0.2065217-20-20, ReplaceEffectColorA-0.2065217-714-394-Color-0.4130435-0.5434783-0.2826087, ReplaceEffectColorB-0.1086956-704-525-Color-0.2717391-0-0.2826087, 
AmbientSounds: OMNI><am_sub-blankstate.ogg><491.923><387.8996><0.4021739><0.6086956, OMNI><am_sub-cavetone.ogg><488.4429><304.9417><0.4565217><1, OMNI><am_win-nicewnd.ogg><488.1477><221.8651><0.2065217><1, OMNI><am_win-howlingwnd.ogg><490.1933><481.9487><0.25><0.5108696, 
