DangerType: Rain
CeilingDrips: 0
RainIntensity: 0.8043478
RumbleIntensity: 0.6086956
WaveSpeed: 0.51
WaveLength: 1
WaveAmplitude: 0.0001
SecondWaveLength: 1
SecondWaveAmplitude: 0.0001
Clouds: 0.1521739
Grime: 0
BkgDroneVolume: 0.3
BkgDroneNoThreatVolume: 1
RandomItemDensity: 0.5
RandomItemSpearChance: 0.2
WaterReflectionAlpha: 1
Palette: 3347
EffectColorA: 10
EffectColorB: 7
Effects: AboveCloudsView-1-20-20, ReplaceEffectColorA-0-552-600-Color-0-0-0, ReplaceEffectColorB-0.05434782-750-394-Color-0.09782609-0.2391304-0.2717391, FairyParticles-1-40-40, RockFlea-0.3043478-281-299, Wasp-0.5-342-182, 
AmbientSounds: OMNI><am_win_hilltop.ogg><660.8013><270.5231><0><1, OMNI><msc-structurestrain.ogg><695.6356><407.664><0><1, OMNI><am_win-strongwnd2.ogg><73.22028><446.9478><0.4565217><1, OMNI><am_win-nicewnd.ogg><75.70972><376.1959><0.3043478><1, 
